game_name,YOR,operability_status,developer,publisher,gender,no_of_skintones,game_description,sentiment_score,sentiment_category,period
Bring It On,2005,operable,G-Game,Yahoo! Korea,F,1.0,A challenging dress-up game featuring various casual and traditional outfits.,0.34,positive,pre-2011
Alice in Wonderland,2007,operable,,DressUpWho,F,1.0,A whimsical dress-up game based on Alice in Wonderland.,0.0772,positive,pre-2011
Anime Character Maker 2,2009,operable,Xdanond,Kongregate,M/F,11.0,Create your own anime character with customizable outfits and features.,0.2732,positive,pre-2011
Beautiful Alice,2008,operable,AllForGirls,Kongregate,F,1.0,A game to dress up Alice in various charming styles.,0.5859,positive,pre-2011
Beach Doll Dress Up,2006,operable,www.roiworld.com,www.roiworld.com,F,1.0,Dress up your beach doll with stylish swimwear and accessories.,0.0,neutral,pre-2011
50's Fashion Dress Up Game,2010,operable,Pichichama,DeviantArt; Rinmaru Games,F,4.0,A vintage dress-up game inspired by 1950s fashion.,0.4939,positive,pre-2011
Cover Model Dress Up: April,2010,non-operable,Spil Games,girlsgogames.com,F,,Dress up a model for an April fashion magazine cover.,0.0,neutral,pre-2011
2010 Teens Fashion Show,2010,operable,iGirlsGames,,F,1.0,Prepare your teen model for the fashion show.,0.0,neutral,pre-2011
Anime Bikini Dress Up Game,2012,,Pichichama,DeviantArt; Rinmaru Games,F,6.0,Dress up anime characters in various bikinis.,0.0,neutral,post-2011
284 Modern Princess Dress Up Game,2013,,Pichichama,DeviantArt; Rinmaru Games,F,11.0,Dress up a modern princess with luxurious and contemporary outfits.,0.0,neutral,post-2011
Summer BFF Dress Up Game,2014,,Pichichama,Rinmaru Games,F,9.0,Help two best friends get dressed up for summer fun.,0.9231,positive,post-2011
Amazon Warrior Creator,2018,,Pichichama,rinmarugames.com,F,16.0,Create your own Amazon warrior with powerful outfits.,0.6808,positive,post-2011
Cinderella Flies to Mexico,2015,,DressUpWho,,F,1.0,Dress up Cinderella as she travels to Mexico.,0.0,neutral,post-2011
Color Me Lolita,2015,partially_operable,Lina01,,F,1.0,A dress-up game with lolita fashion styles to color.,0.0,neutral,post-2011
Anime Summer Girls Dress Up Game,2016,fully_operable,PrinceofRedRoses,,F,14.0,Dress up anime girls in summer attire.,0.0,neutral,post-2011
Boho Chic Spring Shopping,2017,,,Games for Girlz,,,Dress up for a boho chic spring shopping spree.,0.2732,positive,post-2011
Swimming Pool Delight,2018,,,GirlGames,F,,Prepare your character for a delightful swimming pool day.,0.5859,positive,post-2011
Geisha Dress-Up Game,2018,non-operable,AzaleasDolls,DeviantArt,F,,Dress up a geisha with traditional outfits and accessories.,0.0,neutral,post-2011
